,0,1,2,3,4,5,6,7,8,9
0,0.000245323385299608,0.00019810931872886955,0.0001846230105079114,0.0001501630730640766,0.00014104748260628774,0.0014617800040165278,0.0012759742296237434,0.0011777740374225526,0.0010939470779020495,0.0010214771641955617
1,0.000329452642728153,0.0004335464525285169,0.0007132866116365667,0.003463729654707255,0.003288787305916186,0.003178147659685892,0.0031147948517491575,0.003126581338946818,0.00401609096295986,0.005194958275595744
2,0.000567162500384555,0.0035056415964283957,0.007885821101223033,0.017604533922857324,0.02526876997062151,0.03157271317964493,0.036576882420553646,0.04074791107582769,0.044095101202873806,0.04697893831967315
3,0.001493021692246002,0.014910297541403201,0.03523512541934026,0.0510145066781218,0.06333223124532547,0.0726548506988732,0.08034674934073255,0.08631360667257608,0.09092361905647232,0.09486727194502141
4,0.007714590279026763,0.037016934621774786,0.06487498875392683,0.08565127120773712,0.10106891576472024,0.11278942526722262,0.12247640929480186,0.12949138446184155,0.13530996663359665,0.13982820941026614
5,0.014707389597514992,0.060239289210426906,0.09427419621169324,0.11848030193596637,0.13646650543755098,0.15009376020643322,0.1602675831170984,0.16844812484412322,0.17472811576877528,0.1795510496452331
6,0.026002194652127383,0.08311938961858602,0.12173296160694506,0.14885358488908848,0.168315336684558,0.18344409798773034,0.19475387672392241,0.20280745631805136,0.2093423758234585,0.21481333394916483
7,0.03978023111497104,0.10483792293240617,0.14734279961228947,0.1762416518586907,0.19788132049644372,0.21307905590535575,0.22423810185426668,0.23356300781476297,0.24021977917260814,0.2452603269629068
8,0.05372266994843536,0.12574400822765114,0.17093877961280332,0.20175339494124486,0.2241002672208445,0.2397024896729542,0.2516137689915131,0.26052386911008274,0.2672349362372623,0.27228770223738724
9,0.06768346886922443,0.1450351636337239,0.19345235155049678,0.2252422787940094,0.24750931535696222,0.26387451526522476,0.27541704456240185,0.2843879101901921,0.2915403950374707,0.2965706359780996
